canonical_name,varian_ejaan (|| separated),platform_terlihat,jumlah_deal,harga_min,harga_median,harga_modus,harga_max,durasi_bulan_terlihat,contoh_tanggal_closing_terakhir,usulan_standard_price (KOSONGKAN — diisi Sales Head),usulan_commission_rule (KOSONGKAN — diisi Sales Head),catatan
Jasa Meta Ads CPAS x Shopee Premium,Jasa Meta Ads CPAS x Shopee Premium,Shopee,1,31285000,31285000,31285000,31285000,6,2025-07-07,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Meta Ads CPAS x Shopee Basic || Meta Ads CPAS x Shopee Pro || META Ads CPAS x Shopee || Meta Ads CPAS x Shopee Premium
Jasa Live Tiktok 50 Jam,Jasa Live Tiktok 50 Jam,TikTok,1,8350000,8350000,8350000,8350000,1,2025-07-30,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Live Tiktok Basic || Jasa Live Shopee 50 Jam || Jasa Live Tiktok Premium
Jasa Live Tiktok Basic+,Jasa Live Tiktok Basic+,TikTok,1,8350000,8350000,8350000,8350000,1,2025-08-25,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Live Tiktok Basic || Jasa Live Shopee Basic+
Jasa Live Tiktok Premium,Jasa Live Tiktok Premium,TikTok,1,16700000,16700000,16700000,16700000,1,2025-09-08,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Live Tiktok 50 Jam || Jasa Live Tiktok Basic
Add On Talent Foto,Add On Talent Foto,Shopee,1,800000,800000,800000,800000,1,2025-09-10,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Add On Talent || Add On Talent Video
Paket Hemat Awareness TikTok Premium,Paket Hemat Awareness TikTok Premium,TikTok Shop,1,6000000,6000000,6000000,6000000,1,2026-01-31,,,
Matchmaking Creator Tiktok  Live Streaming 3 Affiliator 30 Jam Night,Matchmaking Creator Tiktok  Live Streaming 3 Affiliator 30 Jam Night,TikTok,1,13650000,13650000,13650000,13650000,1,2026-03-11,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Matchmaking Creator Tiktok Live Streaming 1 Affiliator 16 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 15 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 60 Jam Night
Jasa Live Streaming Reguler,Jasa Live Streaming Reguler,TikTok,1,30000000,30000000,30000000,30000000,1,2026-04-09,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa live Streaming
6 Affliator Shopee Video,6 Affliator Shopee Video,Shopee,1,13000000,13000000,13000000,13000000,2,2026-05-26,,,
Short Video (UGC Style) / Ad Content,Short Video (UGC Style) / Ad Content,TikTok,1,135000000,135000000,135000000,135000000,6,2026-06-11,,,
Add On Talent Video,Add On Talent Video,Shopee,1,1200000,1200000,1200000,1200000,1,2025-09-10,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Add On Talent || Add On Talent Foto
Jasa Konten Feed dan Reels Pro+,Jasa Konten Feed dan Reels Pro+,Meta,1,12999000,12999000,12999000,12999000,1,2025-10-20,,,
Admin Campaign,Admin Campaign,Shopee,1,1500000,1500000,1500000,1500000,1,2025-11-28,,,
OBS,OBS,TikTok,1,750000,750000,750000,750000,1,2026-04-09,,,
Massive Video Affiliate,Massive Video Affiliate,TikTok,1,55000000,55000000,55000000,55000000,1,2026-04-14,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Massive Video Affiliate Premium+
Short Video (Premium),Short Video (Premium),TikTok,1,90000000,90000000,90000000,90000000,6,2026-06-11,,,
Jasa Addon Live Streaming Malam Weekday,Jasa Addon Live Streaming Malam Weekday,TikTok,1,3000000,3000000,3000000,3000000,1,2026-04-09,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Addon Live Streaming Malam Weekend
Massive Video Production,Massive Video Production,TikTok,1,30000000,30000000,30000000,30000000,6,2026-06-11,,,
Jasa Addon Live Streaming Malam Weekend,Jasa Addon Live Streaming Malam Weekend,TikTok,1,1500000,1500000,1500000,1500000,1,2026-04-09,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Addon Live Streaming Malam Weekday
Add on,Add on,TikTok,1,2050000,2050000,2050000,2050000,1,2026-06-11,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Add On Talent
